Date,Day_of_the_week,App,Minutes,Category
8/27,Monday,TIKTOK,80,Social Media
8/27,Monday,INSTAGRAM,31,Social Media
8/27,Monday,YOUTUBE,27,Entertainment
8/27,Monday,MESSAGES,10,Social Media
8/27,Monday,GMAIL,3,Other
8/27,Monday,SAFARI,15,Other
8/27,Monday,PHONE,4,Other
8/27,Monday,PHOTOS,3,Other
8/27,Monday,MAPS,2,Travel
8/28,Tuesday,TIKTOK,72,Social Media
8/28,Tuesday,INSTAGRAM,35,Social Media
8/28,Tuesday,YOUTUBE,46,Entertainment
8/28,Tuesday,EBAY,5,Other
8/28,Tuesday,GMAIL,10,Other
8/28,Tuesday,SAFARI,9,Other
8/28,Tuesday,PHONE,3,Other
8/28,Tuesday,PHOTOS,2,Other
8/28,Tuesday,MESSAGES,15,Social Media
8/28,Tuesday,DEPOP,3,Social Media
8/28,Tuesday,MCDONAOLDS,3,Other
8/29,Wednesday,INSTAGRAM,24,Social Media
8/29,Wednesday,YOUTUBE,35,Entertainment
8/29,Wednesday,EBAY,7,Other
8/29,Wednesday,GMAIL,11,Other
8/29,Wednesday,SAFARI,7,Other
8/29,Wednesday,PHONE,3,Other
8/29,Wednesday,PHOTOS,2,Other
8/29,Wednesday,MUSI,12,Social Media
8/29,Wednesday,DEPOP,16,Social Media
8/29,Wednesday,MESSAGES,4,Social Media
8/29,Wednesday,NOTES,1,Other
8/29,Wednesday,TIKTOK,67,Social Media
8/30,Thursday,INSTAGRAM,21,Social Media
8/30,Thursday,YOUTUBE,27,Entertainment
8/30,Thursday,CAMERA,5,Other
8/30,Thursday,GMAIL,8,Other
8/30,Thursday,SAFARI,4,Other
8/30,Thursday,PHONE,3,Other
8/30,Thursday,MESSAGES,13,Social Media
8/30,Thursday,MUSI,17,Entertainment
8/30,Thursday,DEPOP,11,Entertainment
8/30,Thursday,CAMERA,2,Other
8/30,Thursday,NOTES,9,Other
8/30,Thursday,TIKTOK,98,Social Media
8/30,Thursday,MCDONAOLDS,3,Other
8/30,Thursday,SETTINGS,3,Other
8/30,Thursday,ROBLOX,14,Entertainment
8/31,Friday,YOUTUBE,41,Entertainment
8/31,Friday,EBAY,2,Other
8/31,Friday,GMAIL,16,Other
8/31,Friday,SAFARI,12,Other
8/31,Friday,PHONE,4,Other
8/31,Friday,PHOTOS,3,Other
8/31,Friday,MUSI,15,Entertainment
8/31,Friday,DEPOP,11,Other
8/31,Friday,CAMERA,3,Other
8/31,Friday,NOTES,6,Other
8/31,Friday,TIKTOK,61,Social Media
8/31,Friday,MCDONAOLDS,2,Other
8/31,Friday,MESSAGES,12,Social Media
8/31,Friday,CALCULATOR,6,Other
8/31,Friday,TIKTOK,67,Social Media
8/31,Friday,INSTAGRAM,31,Social Media
9/1,Saturday,TIKTOK,101,Social Media
9/1,Saturday,INSTAGRAM,31,Social Media
9/1,Saturday,YOUTUBE,15,Entertainment
9/1,Saturday,EBAY,3,Other
9/1,Saturday,GMAIL,4,Other
9/1,Saturday,SAFARI,16,Other
9/1,Saturday,PHONE,3,Other
9/1,Saturday,PHOTOS,13,Other
9/1,Saturday,MESSAGES,21,Social Media
9/1,Saturday,DEPOP,9,Other
9/1,Saturday,NETFLIX,41,Entertainment
9/1,Saturday,Other,24,Travel
9/1,Saturday,NEWS,4,Education
9/1,Saturday,APPSTORE,6,Other
9/1,Saturday,ALARM,1,Other
9/2,Sunday,TIKTOK,98,Social Media
9/2,Sunday,INSTAGRAM,45,Social Media
9/2,Sunday,YOUTUBE,34,Entertainment
9/2,Sunday,EBAY,13,Other
9/2,Sunday,GMAIL,3,Other
9/2,Sunday,SAFARI,6,Other
9/2,Sunday,PHONE,2,Other
9/2,Sunday,PHOTOS,4,Other
9/2,Sunday,MESSAGES,22,Social Media
9/2,Sunday,DEPOP,8,Other
9/2,Sunday,NETFLIX,24,Entertainment
9/2,Sunday,CLOCK,3,Other
9/2,Sunday,NEWS,2,Education
9/2,Sunday,APPSTORE,5,Other
9/2,Sunday,CITIZEN,1,Education
9/2,Sunday,GIPHY,1,Entertainment
9/2,Sunday,WEATHER,2,Education